eventType,eventSampleSpeed,eventDurationSeconds,eventMilesDriven,eventSensorDetectionMthd,eventGPSSignalStrength,eventStartSpeed,eventEndSpeed,memsMedianLateralAccel,memsP75LateralAccel,memsP95LateralAccel,memsMedianHorizontalNorm,memsP75HorizontalNorm,memsP95HorizontalNorm,gpsMedianLateralAccel,gpsP75LateralAccel,gpsP95LateralAccel,bearing_angular_change_per_second,gyro_angular_change_per_second,bearingAngleChange,gyroAngleChange,mems_radius,gps_radius
5,5.8756957,1.9643751,0.002826722,0,10.204082,1.8566601,10.021491,2.3570542,3.2023568,4.769437,2.739069,3.6107783,5.1865587,0.31434283,5.801598,5.801598,37.772823,2.9224808,95.899994,5.798837,11.144644,3.459275
4,18.471529,2.9758127,0.01529409,0,9.693877,17.537607,19.819286,0.9076266,1.105298,1.2672815,1.1604494,1.448224,1.6427553,2.927816,3.6647785,3.6647785,22.850903,9.377919,81.100006,28.092976,29.795628,22.769201
5,7.143295,1.9839376,0.003188541,0,12.755102,6.8002973,8.120091,0.029702663,0.14600897,0.25094175,0.18604232,0.27210185,0.68451077,1.3747762,1.7933127,1.7933127,11.744323,0.10953443,57.1,0.21948256,8602.011,9.584243
4,13.943592,1.9440626,0.009047314,0,9.183674,8.724066,18.387646,1.675081,1.84361,2.7533317,1.875376,2.054369,2.8510838,2.6413105,4.0025954,4.0025954,26.182285,13.249141,77.60243,26.282816,33.5208,16.391136
5,5.5827627,5.9513755,0.01051476,0,9.693877,5.547611,0.40264913,0.15562344,0.4630537,0.86640215,1.132625,1.4023095,1.6318187,0.47831208,2.3234072,2.3978786,13.879146,0.38464305,138.00145,2.3044162,94.929886,10.810723
4,5.294091,1.983875,0.001316347,0,15.306123,8.388525,1.1855781,0.001122475,0.1687541,0.34944105,0.79953957,1.2083898,1.9189541,0.42818755,0.94245243,0.94245243,7.812992,0.75441545,29.900934,1.5265993,1020.1641,14.920377
4,16.383347,3.9673753,0.009960391,0,7.142857,7.918767,4.921268,0.7994387,2.0941033,3.3238254,1.6379762,2.8527334,3.57353,4.7850404,7.1297574,7.1917496,29.717379,15.676809,233.30363,62.817745,9.075873,2.8517494
4,6.3678217,1.9837501,0.002710189,0,10.714286,8.813542,4.540988,0.49193358,9.927408,13.163021,3.0189908,10.207004,16.267818,0.9239874,6.230029,6.230029,13.106491,39.6424,116.6,80.213425,4.7638445,7.147873
4,5.5103283,4.959313,0.007007933,0,15.816326,4.1607084,2.8856523,1.4265702,2.2242134,5.4572835,9.401617,10.737488,13.501777,0.9730734,1.2800772,1.8916765,17.784721,23.64409,115.93623,118.19651,21.282484,8.226976
4,7.672704,3.96725,0.008743387,0,4.591837,7.762182,3.5119958,1.4725837,1.9365351,2.2778585,1.7075161,2.092022,2.5445664,1.1707354,1.6257306,1.8885524,19.257671,18.225805,85.40134,73.02939,11.931327,10.67432
