init_time,eventAction,payloadCreation,eventStart,eventEnd,eventType,eventSampleSpeed,eventDurationSeconds,eventMilesDriven,eventStartLatitude,eventStartLongitude,eventEndLatitude,eventEndLongitude,eventSensorDetectionMthd,eventGPSSignalStrength,eventStartSpeed,eventEndSpeed,eventSpeedChange,memsMedianLateralAccel,memsP75LateralAccel,memsP95LateralAccel,memsMedianHorizontalNorm,memsP75HorizontalNorm,memsP95HorizontalNorm,gpsMedianLateralAccel,gpsP75LateralAccel,gpsP95LateralAccel,bearing_angular_change_per_second,gyro_angular_change_per_second,bearingAngleChange,gyroAngleChange,mems_radius,gps_radius,validity_mean,speed_gap,aggressive
267223511.5,1,1,540722.0,545164.9,4,14.562478,4.4428754,0.012266297,41.81813,-87.87253,41.818287,-87.872444,1,6.8877554,9.216192,20.020609,-1,2.069018,2.2266111,2.4648147,2.767066,3.0623803,3.2836187,3.145557,3.3086102,3.3086102,18.20893,21.811087,96.70201,97.76915,12.454933,16.861912,1,10.804417,0
267223511.5,1,1,239916.97,244161.42,5,16.005304,4.2444534,0.012463305,41.817738,-87.9182,41.81785,-87.918015,1,8.163265,8.388525,21.877274,-1,0.7662349,1.198626,2.2388117,2.8727238,3.2828324,3.626615,1.4202933,2.560783,2.560783,9.424064,15.729628,51.301075,67.38763,9.477533,34.798714,1,13.488749,0
267223511.5,1,1,136898.11,142134.34,4,13.6140175,5.2362347,0.018170988,41.80651,-87.9179,41.806725,-87.91773,1,6.632653,2.706697,18.320538,-1,1.645119,1.9691405,2.1415553,2.1288443,2.2722888,2.6016493,1.6009127,2.4833622,2.9729834,11.133954,16.513271,75.701775,87.12242,15.664234,24.64516,1,15.613840999999999,0
267223511.5,1,1,115398.01,119682.14,5,10.084125,4.284133,0.013774924,41.806408,-87.9201,41.80653,-87.919975,1,13.265306,7.560857,11.028113,-1,0.19363514,1.3276539,1.8725759,2.8907151,3.4567678,4.2495975,0.13749334,0.38307196,3.1835692,9.686908,20.262194,39.500927,87.60969,4.315908,96.82727,1,3.467255999999999,0
267223511.5,1,1,82433.56,87273.14,4,13.332162,4.839578,0.015703784,41.80383,-87.92013,41.803997,-87.919975,1,8.163265,4.652835,17.381023,-1,1.0653768,1.21833,1.5739068,1.8026978,2.3271666,2.8984466,2.4838338,2.8517563,3.7567205,18.038763,18.086489,83.70181,88.24844,7.870353,16.118462,1,12.728188,0
496324148.1,1,1,229692.39,234650.19,4,11.1847,4.957797,0.014975022,41.834465,-87.86706,41.834663,-87.867004,0,12.244898,6.822666,5.4357634,-1,0.73337364,1.0478745,1.5706708,1.6104479,1.822879,2.246807,1.939951,3.4138246,4.6772695,20.755184,2.3516674,112.90247,11.752362,112.52869,15.362019,1,-1.3869026,0
496324148.1,1,1,182216.06,187411.92,5,16.508615,5.1958594,0.017310476,41.83411,-87.87409,41.834244,-87.873856,1,10.204082,15.770426,19.841658,-1,3.8121257,4.1703267,4.405402,4.9222465,5.7735386,6.2287235,2.3482773,3.018728,6.3600883,18.97665,19.959627,100.601974,104.499084,31.65364,18.25647,1,4.071231999999998,0
496324148.1,1,1,113242.305,118001.88,4,10.925213,4.759578,0.015751127,41.82702,-87.87271,41.8272,-87.87257,1,10.714286,6.733189,6.5542336,-1,1.4684823,1.9676204,2.655137,2.8619123,3.2661366,3.816565,0.6926851,2.6878743,3.0741925,15.10638,18.415058,77.60152,88.3783,11.967961,17.66772,1,-0.17895540000000043,0
496324148.1,1,1,48709.15,51644.375,5,15.54114,2.9352267,0.012317121,41.82697,-87.87392,41.826977,-87.87368,0,8.163265,11.699197,19.75218,-1,1.9438674,2.2414966,2.4828243,2.3692174,2.6524072,2.808069,3.1240988,4.04717,4.04717,22.75804,0.41145042,120.402504,1.2240205,792.94794,15.11651,1,8.052983,0
496324148.1,1,1,42719.734,45654.94,4,19.489336,2.9352071,0.010967031,41.82675,-87.8739,41.82691,-87.873924,0,9.183674,28.453875,9.797797,-1,1.0387466,1.1610756,1.2793267,1.8561033,2.1358514,2.4329329,1.3002179,2.1327176,2.1327176,7.290797,0.011386771,30.60064,0.033874188,52144.42,58.76811,1,-18.656078,0
496324148.1,1,1,24711.834,26655.396,5,12.362821,1.9435626,0.007654418,41.82506,-87.87386,41.825172,-87.87387,0,10.204082,9.104344,14.763803,-1,0.82727146,0.98338056,1.2091472,1.7491792,1.8745744,2.1271176,2.5477111,5.171201,5.171201,16.824774,0.13087788,105.50124,0.25956059,804.2618,13.708865,1,5.659459,0
497102102.1,1,1,222768.06,226734.53,5,6.326066,3.966469,0.00531699,41.822838,-87.87163,41.822773,-87.871635,0,20.918367,0.38027978,9.238562,-1,0.492532,2.0382886,3.0134022,1.5863299,2.654108,3.7093616,0.10503109,0.7568417,15.775641,42.909702,3.2935812,205.60483,13.194527,13.019783,22.535734,1,8.85828222,0
497102102.1,1,1,189766.36,190718.33,4,10.714942,0.9519688,0.00274802,41.82271,-87.87173,41.822746,-87.87174,0,14.795918,11.453132,9.976752,-1,0.24061728,0.3481319,0.45302796,0.35745665,0.44175604,0.5279964,1.1739641,1.1739641,1.1739641,9.97932,1.3710306,27.50043,1.3595608,462.9006,21.597584,1,-1.4763800000000007,0
497102102.1,1,1,182785.17,188735.05,5,9.593277,5.9498754,0.015011968,41.8225,-87.87168,41.82267,-87.87172,0,16.836735,13.175575,8.858281,-1,0.33264446,0.87066627,1.3545945,0.56191176,1.1577907,1.5250862,0.90461475,1.2999213,2.663964,14.6893835,2.8554928,96.20176,17.103092,291.74667,18.102543,1,-4.317294,0
