eventType,eventSampleSpeed,eventDurationSeconds,eventMilesDriven,eventGPSSignalStrength,eventStartSpeed,eventEndSpeed,memsMedianHorizontalNorm,gyro_angular_change_per_second,gyroAngleChange,mems_radius,is_ios
5.0,7.457063,5.448625,0.007715769,5.0,3.452344,9.551485,1.4435548,17.440483,95.72028,4.367076,1
4.0,10.610204,5.6877346,0.014693807,5.0,13.00383,8.745938,1.0219544,14.41136,82.5412,3.8394978,1
4.0,10.192636,7.000282,0.017280838,5.0,11.2776575,11.2776575,0.8014396,11.547824,81.297325,21.04176,1
5.0,7.111829,5.6293283,0.008524116,10.0,0.5753907,14.269689,1.9374042,15.840047,89.80122,15.014789,1
4.0,16.600021,3.5932345,0.022072706,10.0,18.642658,16.916485,2.2853503,14.44946,52.49719,9.565379,1
5.0,25.815863,3.393594,0.01239164,10.0,26.813204,24.741798,1.8879751,8.259042,28.357574,23.904636,1
4.0,14.914077,6.671813,0.029886333,8.6609535,18.131357,15.203847,2.1274853,15.148176,101.66738,13.936976,1
5.0,6.618072,7.0806255,0.008445481,4.7575045,10.571778,7.2862406,1.4746765,13.5787525,96.692345,23.979559,1
5.0,6.301569,4.868,0.0064956136,4.764598,5.954988,7.637243,1.1230642,15.579524,76.46791,11.463267,1
4.0,9.063172,6.4352818,0.02101521,4.7523336,3.3810313,15.787186,1.2966366,12.259913,79.3891,19.597567,1
5.0,10.542641,4.579719,0.010692704,4.743086,6.7684517,13.830768,1.9451237,19.373396,89.49623,6.107488,1
4.0,17.515491,6.5484066,0.024061685,4.8320613,19.999712,16.057411,2.521101,17.029465,112.200005,9.153196,1
5.0,10.91869,6.0261564,0.014662153,4.7929506,16.670729,8.595911,2.3402848,20.7054,125.60581,6.350769,1
4.0,13.754669,6.026063,0.02757467,4.7756205,5.8134103,20.735802,2.0360484,14.007832,84.97482,13.803089,1
5.0,16.68173,10.64575,0.04706726,4.86414,21.779833,25.378984,1.0604124,8.651125,92.44525,37.37818,1
5.0,12.54072,4.901047,0.017765466,4.774103,13.436089,14.932045,2.2005656,17.95562,88.722664,8.438415,1
5.0,20.19621,3.5135627,0.015872909,10.0,25.547346,13.464142,2.7567842,10.272909,36.504673,80.52706,1
4.0,31.229328,7.745813,0.06450783,10.0,31.876644,31.876644,1.7585478,9.779842,76.1433,57.266186,1
5.0,31.47387,5.1106877,0.043599527,10.0,31.41633,32.1068,2.5364375,9.718047,50.053917,11.067675,1
5.0,9.720717,16.928907,0.0426967,10.0,6.78961,23.475939,0.74710214,7.28757,123.66156,55.712555,1
5.0,11.200939,3.1541877,0.009781019,10.0,0.46031255,19.333128,3.4917502,10.773989,34.413345,72.16064,1
5.0,19.524923,6.1087813,0.027423613,10.0,19.678362,19.908518,2.303694,13.893754,85.428635,5.0447764,1
4.0,13.294297,6.453438,0.023857482,4.9186516,5.001892,20.327991,2.0585144,10.6934805,69.43835,25.162857,1
5.0,11.756193,5.932563,0.017365359,5.5536985,15.533553,16.919174,3.5159307,14.1320715,84.40588,49.91878,1
5.0,22.303736,5.595219,0.031298924,4.742977,30.382942,21.651073,3.5292373,14.920255,84.07839,27.582346,1
5.0,12.901865,6.914313,0.02661303,4.744,14.652962,16.68153,2.3916087,14.549697,101.18266,21.287352,1
4.0,16.378073,6.674563,0.025191989,4.746063,14.604031,23.105768,1.9764574,11.606675,77.93337,38.201168,1
5.0,33.51876,8.550157,0.08782743,7.497065,39.459854,32.4513,2.1317108,7.3553658,63.183407,97.95918,1
5.0,5.491123,14.181923,0.029144771,4.7410564,8.445143,5.958047,1.0979706,12.524222,178.11649,9.949411,1
4.0,10.375304,5.656836,0.020279333,4.7425556,2.9166496,17.95715,2.5506957,14.906604,84.91804,36.04159,1
4.0,8.921676,3.637875,0.0058266195,4.7425475,8.061363,9.723464,0.81783336,13.890492,51.08717,13.634265,1
5.0,6.018974,8.674875,0.020976791,4.7500873,5.5432305,10.947362,0.9301432,9.7067175,84.592606,10.381932,1
4.0,10.710644,6.2363753,0.022334399,4.768576,3.5318336,16.562277,1.5637493,13.621486,85.49324,29.015121,1
5.0,16.610495,7.27575,0.03435095,9.5500145,24.177551,16.272738,1.8144786,12.432838,90.95525,20.35143,1
4.0,17.09754,4.647969,0.026085164,4.8785167,11.228912,23.605268,4.093211,18.517822,86.81225,8.30017,1
5.0,15.962344,3.4049065,0.014273696,4.8879404,13.044813,18.64417,1.6439421,7.8531985,27.053986,44.248173,1
5.0,12.9048815,4.3663673,0.0064286687,5.2087917,18.857067,7.408809,2.4606867,18.502932,81.5318,18.732985,1
4.0,5.711765,8.091828,0.013140906,5.08686,3.7525094,11.96549,1.2762502,10.308413,83.82684,36.013634,1
4.0,13.40596,10.549782,0.037314404,4.7221093,15.634706,16.819952,1.052412,10.541494,111.63333,41.52091,1
5.0,6.608031,4.813524,0.011932526,4.71851,2.640421,11.195774,1.1614228,17.068714,82.84534,10.543235,1
4.0,16.443066,11.592723,0.048810128,4.7272835,12.964798,17.702223,0.8172138,7.316929,85.11664,30.280466,1
5.0,6.393285,4.7333245,0.006399162,4.7113824,5.654562,7.1329856,1.5346435,17.54541,83.751915,9.599131,1
5.0,13.357259,5.2986255,0.012192358,4.7367663,18.170994,10.322086,2.6667314,14.346089,76.58609,36.46715,1
4.0,18.514187,8.007626,0.042955846,4.7458496,5.573335,29.438154,2.2936845,10.997133,88.49904,10.00162,1
5.0,38.49193,15.138876,0.1482602,4.7433085,47.05794,40.403015,2.820724,11.408385,173.16463,47.803474,1
4.0,32.937313,5.7765627,0.045866776,4.744381,33.49641,34.168198,2.71677,9.152035,53.231903,70.524605,1
4.0,20.668678,7.3303127,0.04000667,4.7437215,21.292723,26.522163,2.321651,12.731786,93.83519,34.89917,1
4.0,21.922977,6.333235,0.033676237,6.9701576,21.531643,26.11743,4.530919,14.320156,91.266914,14.684017,1
5.0,27.77219,14.569626,0.10997514,10.0,26.698126,31.071096,1.2574385,11.762939,171.85374,26.522234,1
5.0,23.952692,7.304813,0.042418223,10.0,23.821173,27.503674,1.1627263,10.447744,76.73815,6.791625,1
4.0,16.245195,5.859594,0.022791095,10.0,15.075235,20.36883,1.9777954,12.508337,73.79579,32.17585,1
4.0,11.191349,7.98575,0.030004397,10.0,6.214219,12.428438,1.0636754,11.69501,93.86274,25.637508,1
4.0,14.770201,8.688313,0.04036622,4.7490835,4.601809,22.968393,1.9836743,13.724689,119.79643,11.738963,1
4.0,22.22589,5.9051566,0.027418755,4.746803,31.287676,14.187267,2.0103033,12.205203,72.563934,30.289062,1
4.0,12.420368,5.082375,0.02055795,4.698109,6.7704835,16.153357,2.1245294,15.353554,78.64214,26.814695,1
5.0,12.834511,5.4396253,0.017775329,4.729281,5.7864585,19.103989,1.9119784,10.731019,58.7988,8.342437,1
5.0,20.004965,5.082375,0.026008843,4.744036,24.036352,20.170263,3.130677,14.366823,73.588036,18.749191,1
4.0,5.920029,9.528001,0.018835334,4.739976,0.0,12.894309,1.3886719,17.368982,166.18124,11.206322,1
4.0,8.539223,9.607751,0.024323162,4.6634054,4.900515,5.7561207,1.8646905,21.633438,208.70757,2.9193377,1
5.0,26.984661,3.4540393,0.02255971,4.5871973,27.004955,27.024738,1.4629122,7.432913,25.968672,42.417553,1
